blk_cd,od_cnt,hd_pop,hd_kpop,blk_ar,hd_ar,blk_pop,blk_kpop,tratio,tratio2,dist_s1,dist_s2,dist_r1,dist_r2,apt_kpop,blk_kpop2,esti1
"427186",1.5,"32915","25436",1,1953877.8132,0.0168459868767806,0.0130182142548319,0,0,"890","890","1074","1073",0,0,4.05338284556925
"427201",18.5,"22899","16934",2598.86,206324.55,288.435356529313,213.300333091724,0,0,"486","366","1586","37",0,0,6.27661663102069
"436492",2,"64084","48005",1,10124062.926,0.00632986978334789,0.00474167341223418,0,0,"1800","1919","91","95",0,0,0.312405135725395
"526548",1,"36611","26478",1234.07,1673541.5785,26.9969610259074,19.5248841616994,0,0,"1501","1426","60","60",0,0,0.225587200105239
"169024",29.3,"24265","18391",1,80034311.4524,0.000303182467115138,0.000229788945094354,0,0,"301","297","165","165",0,0,0.619767297346895
"30557",0.5,"10265","6975",1,398045.08,0.0257885363135251,0.0175231408462579,0,0,"0","0","1747","1747",0,0,6.61940567494425
"130601",1.5,"11579","9458",1,324154.448,0.0357206266069809,0.0291774493867195,0,0,"734","725","14","14",0,0,0.0398717556195064
"407490",7,"51060","37815",1059.1,4145031.067,13.0463789356202,9.66213904133327,0.0780987723962374,0,"891","891","0","0",0,0,0.925263049506703
"425396",12.3,"68767","51081",1,5250110,0.0130982017519633,0.00972951042930529,1,1,"1286","1286","317","317",0,0,13.0705875899865
"508424",14.3,"70572","51101",1,3597786.5072,0.0196153940370751,0.0142034553461511,1,0,"2153","531","273","273",0,0,12.8882713792712
"434843",2.3,"50401","38014",1,7795825.624,0.00646512664993903,0.00487619937046452,1,1,"1962","1479","2145","2145",0,0,19.984705309802
"405808",4.5,"41240","29579",1,155626941.4914,0.0002649926780337,0.000190063492326838,0,0,"6298","0","181","181",0,0,0.572445245942159
"528082",35.5,"33924","25380",70000,8202050.005,289.522741089409,216.604385356951,0.993885594675612,0,"588","562","1061","1061",0,0,16.109724836747
"433674",5,"39167","28842",1,4056320.786,0.00965579451585317,0.00711038439058996,1,1,"0","0","30","23",0,0,12.0062892008374
"424499",6.8,"43192","30689",72.76,4705012.3949,0.667936586820999,0.474585708301297,0,0,"3616","2545","185","164",0,0,0.636491113906542
"431070",8.3,"47013","34396",2270.74,3898291.143,27.3848965364463,20.0355412602388,0.665148363323902,0.665148363323902,"1396","1396","248","248",0,0,8.85082006754022
"433533",1,"39167","28842",1,4056320.786,0.00965579451585317,0.00711038439058996,0.999595479871999,0.999595479871999,"0","0","1379","1121",0,0,17.1128394007179
"435145",2.8,"50401","38014",1,7795825.624,0.00646512664993903,0.00487619937046452,1,1,"903","411","1584","1584",0,0,17.878138309802
"436276",0.5,"72522","51267",1,112858091.5792,0.000642594598094072,0.000454260738265475,1,1,"4353","4541","2187","1557",0,0,20.1007995878134
"499668",2.8,"20891","16710",1,1975175.35,0.0105767824613648,0.00846000837343378,1,0,"297","283","1284","1284",0,0,16.7523509472508
"509826",1.5,"11579","9458",20015.685,324154.448,714.972810167948,584.006636028021,0,0,"670","661","257","257",0,0,1.71741758702026
"526604",0.3,"37666","26082",726.23,3246276.153,8.42632539277998,5.83484890602898,0.178760505962518,0,"5073","1045","1323","1323",0,0,7.0550122752993
"526912",14.5,"24952","18411",578.66,2265668.9934,6.37283043642327,4.70223553883412,0,0,"2958","2958","2865","1979",0,0,10.8083256927873
"532535",73.3,"21102","16031",1,2428066.86,0.00869086446820496,0.00660237173205354,0.0119549887191564,0.0119549887191564,"1290","1268","675","675",0,0,2.67653956186035
"533159",3.3,"31642","23188",1142.41,2900583.348,12.4623680422508,9.13271569950418,0,0,"2390","2390","2896","2896",0,0,10.9417417341152
"532849",0.3,"52131","39883",1,282013832.584,0.000184852634788658,0.000141422141015443,0.893383516525599,0.893383516525599,"786","764","942","945",0,0,14.1797519254678
"536757",57.3,"68767","51081",70000,5250110,916.87412263743,681.06573005137,1,1,"2424","2224","831","831",0,0,15.8789360546865
"63203",45.3,"61512","43852",1884.4,4986965.464,23.2432355180232,16.5701385735524,0.956792758363311,0,"4539","658","953","953",0,0,14.9294198853533
"32249",3.5,"18474","13436",561.91,911083.446,11.3938249954769,8.2866424509704,0,0,"0","0","144","144",0,0,0.556338915331556
"29962",16.3,"83112","60339",1844.11,10606368.2763,14.4505325788543,10.4910324053746,0,0,"0","0","58","58",0,0,0.233337395932555
"215230",1.5,"21879","15834",1025.24,199309.5231,112.544677299466,81.4494456035352,0.19508097072302,0,"297","204","42","53",0,0,2.57920948584127
"426079",13.8,"68767","51081",1,5250110,0.0130982017519633,0.00972951042930529,1,1,"683","683","100","99",0,0,12.2592285899865
"144965",86,"64338","45996",1,14716025.885,0.00437196839029616,0.00312557210482238,0,0,"551","551","347","347",0,0,1.3048690444903
"426816",19.5,"27917","20799",1,4005454.7621,0.00696974542420335,0.00519266880674877,0.994895345670356,0,"809","774","539","539",0,0,13.8596180561862
"434915",20.5,"28648","21561",1,73969922.253,0.000387292552532568,0.000291483340029137,1,1,"492","311","67","67",0,0,12.1376173771794
"434922",0.5,"28271","21248",1,5529693.152,0.00511258025045655,0.00384252786111919,1,1,"391","181","391","391",0,0,13.3670759722311
"531929",68.3,"10659","8201",131.82,2226797.67,0.630982059542033,0.485475548391426,0,0,"159","170","37","37",0,0,0.137959205359619
"145745",2.8,"53648","38700",1545.31,9920390.14,8.35680751563668,6.02834124021659,0,0,"4183","2928","0","1147",0,0,-0.0674933264351597
"295949",2.8,"39012","29532",361.39,6529343.383,2.15925949257125,1.63455478659423,0,0,"2112","2112","159","159",0,0,0.566550113893853
"327756",1.5,"34585","24933",1572.625,9660924.179,5.62981704620208,4.05864474231477,0,0,"1671","1671","575","575",0,0,2.15384888629656
"429297",50.3,"48209","32482",9633.505,7870722.81,59.0062251912795,39.7568961534805,0,0,"2597","2587","185","185",0,0,0.705664423622604
"510986",4.5,"43763","32481",1,3433511.4502,0.0127458436165841,0.00945999466467718,0,0,"1673","1604","817","817",0,0,3.0655112412331
"288701",4,"26073","19838",2419.35,361342.442,174.570449573704,132.824323194229,0,0,"881","881","192","192",0,0,0.883504674213333
"409639",15.3,"34585","24933",8964.43,9660924.179,32.0916307597077,23.1354815593983,0.980110446342476,0,"628","599","544","544",0,0,13.7359206084149
"500855",1.8,"52131","39883",34427.403,282013832.584,6.36399615348096,4.86879704186149,1,1,"427","403","359","359",0,0,13.2514752233722
"58886",18.5,"108027","80263",315.06,3589811.5865,9.48099525557091,7.04428635616918,0,0,"3079","3187","294","294",0,0,1.06765930654488
"145448",0.5,"24952","18411",2017.9,2265668.9934,22.2232995846586,16.3976101576286,1,0,"1846","1752","383","377",0,0,13.331787507544
"177553",3.5,"26637","19160",5347.62,2619407.729,54.3804434731436,39.1158650353055,0,0,"0","0","390","390",0,0,1.52832592935569
"30232",1.5,"7385","5142",1775.72,361052.8371,36.3207011619962,25.2892410798896,6.07794391404891e-05,0,"7328","1029","1181","1217",0,0,4.37635210412309
"290106",0.3,"31168","21785",13928.74,873677.793,496.900541364681,347.31064853791,0,0,"3955","3869","1863","1863",0,0,7.43713697920806
"423823",4.3,"66188","48050",1795.68,7006638.008,16.9628383404847,12.3143830038722,0,0,"1519","1307","833","399",0,0,3.14482981160701
"528868",21,"91894","69384",266.76,1414272.821,17.333037216021,13.0872032362984,0.271730580604794,0,"382","347","1243","1297",0,0,7.95137166119415
"285103",46.8,"28193","20641",1211.55,4960947.115,6.88522339750844,5.04089299286957,0,0,"303","129","95","99",0,0,0.361023915532773
"287123",2,"34674","27348",1,3371917.4765,0.01028316981114,0.00811051877473194,0,0,"881","726","1358","1359",0,0,5.1296144950113
"287372",1.3,"32883","25587",3341.37,6733203.472,16.3182755677757,12.6976163048589,0,0,"2213","737","2726","2726",0,0,10.3054107154985
"287912",132,"34197","25460",70000,794788347.485,3.01185844957947,2.24235798831164,1,0,"2508","2508","2247","2222",0,0,20.3642506112369
"287931",68.8,"20891","16710",1,1975175.35,0.0105767824613648,0.00846000837343378,1,0,"539","520","1673","1673",0,0,18.2219159472508
"288973",2.8,"22697","17569",1,537480.0356,0.0422285452419882,0.0326877257503851,0,0,"1997","1997","180","180",0,0,0.646116297917121
"291408",7.3,"19950","15219",5623.664,3130461.996,35.8388304804068,27.3399078236246,0,0,"1409","1409","157","157",0,0,0.60488884072377
"408082",3,"70572","51101",739.18,3597786.5072,14.4993069643251,10.4989101227679,1,0,"2865","1296","364","364",0,0,13.2338215896989
"289154",50.8,"40215","32148",1,6534366.24,0.00615438414728342,0.00491983442911519,0,0,"1850","1856","780","780",0,0,2.92212636626575
"289295",1.5,"24938","19054",1,7707115.483,0.00323571121452729,0.00247226086621232,1,0,"783","783","2503","2503",0,0,21.3623861991056
"289319",19,"24938","19054",1,7707115.483,0.00323571121452729,0.00247226086621232,1,0,"909","719","2927","2927",0,0,22.9666541991056
"28953",1.3,"31909","23381",50000,6830763.241,233.56833544218,171.144857280818,1,0,"550","552","480","480",0,0,13.9228914453214
"290073",0.3,"36713","29366",1,7000119.497,0.0052446247547251,0.00419507124308167,0,0,"240","299","1546","1546",0,0,5.85347942842219
"290286",4.8,"15748","11754",474.58,3094142.91,2.41543007462445,1.8028298893279,0,0,"463","410","273","199",0,0,1.02839586187679
"290297",15,"15748","11754",40000,3094142.91,203.584649553243,151.951611052122,0,0,"634","588","242","176",0,0,1.10215138470145
"290360",1,"22062","16276",1,3948085.17,0.00558802534647448,0.00412250478375572,0,0,"759","718","201","178",0,0,0.74793233452119
"290490",2,"22062","16276",1,3948085.17,0.00558802534647448,0.00412250478375572,0,0,"542","531","35","35",0,0,0.12286433452119
"290717",29,"38683","29280",70000,9304667.568,291.016307698356,220.276542393503,1,0,"1036","916","130","130",0,0,12.6515698458572
"287887",25.8,"36611","26478",1052.08,1673541.5785,23.0156820570443,16.6455226436431,0,0,"4632","4276","215","215",0,0,0.752798306300874
"294276",0.5,"52932","40119",2315.78,5730308.967,21.3913189787695,16.2132231185153,0.0172064776712725,0,"1293","1293","0","2473",0,0,0.202335839133511
"408224",3.8,"49177","34332",1,381638690.5562,0.00012885748016882,8.99594324410991e-05,0.990579230991266,0,"5935","423","614","614",0,0,14.0001885846865
"530395",0.3,"11951","8593",1,1994782.121,0.00599113049700329,0.00430773862946609,0,0,"1238","1213","1009","1009",0,0,3.80082257421379
"290890",3.5,"15997","11775",40000,91006409.586,7.03115311230162,5.1754596422674,0,0,"320","258","572","572",0,0,2.16824504477709
"290966",33.8,"15997","11775",222.87,91006409.586,0.0391758273534666,0.0288363672618034,0,0,"616","544","427","427",0,0,1.60685231425924
"290967",4.5,"15997","11775",1,91006409.586,0.000175778827807541,0.000129386491056685,0,0,"613","544","440","440",0,0,1.65612616742612
"291202",16,"33924","25380",70000,8202050.005,289.522741089409,216.604385356951,1,0,"290","277","772","773",0,0,15.0927840746519
"531277",0.3,"27749","20254",6570.646,37889471.674,4.81212452426765,3.51237054000206,0,0,"2834","2633","1570","129",0,0,5.90226300747876
"291254",349.5,"22636","17027",1,4563294.076,0.00496045173136021,0.00373129579562954,1,0,"1038","978","1529","1532",0,0,17.6673118282968
"291272",19,"33924","25380",1,8202050.005,0.00413603915842013,0.00309434836224215,1,0,"617","609","624","624",0,0,14.2458440040868
"427740",1.8,"57156","41193",1,9985495.767,0.00572390208094512,0.00412528340717287,1,0,"1251","1169","554","554",0,0,13.9692033381167
"508763",3,"16517","12378",549.27,686065.81,13.2236477284883,9.90992986518305,0,0,"1407","1400","138","138",0,0,0.510379449245547
"538644",51.5,"74497","52744",70000,7872710.2699,662.388151122223,468.971913537331,1,1,"1310","1310","60","133",0,0,12.7032196561173
"143155",1.8,"53648","38700",294.95,9920390.14,1.59504589806384,1.15061654218369,0,0,"4759","3101","0","252",0,0,-0.0841731021944143
"404249",123,"80778","58346",200.67,8461994.8477,1.91559101036393,1.38363258672774,0.138825677381561,0,"1357","1272","55","1261",0,0,1.83675905965196
"297951",15.3,"43192","30689",443.6,4705012.3949,4.07224670029955,2.89343348271654,0,0,"4332","3259","330","330",0,0,1.17613810292664
"31769",284.5,"35760","25450",1,4260871.6007,0.00839264905192758,0.00597295633030081,1,1,"1948","2054","1127","1127",0,0,16.1277567290055
"52333",4,"101223","72940",70000,10428463.61,679.449079460325,489.602322158365,0,0,"1327","1151","371","371",0,0,2.01537840487292
"291324",13.8,"19950","15219",251.3,3130461.996,1.6015000362266,1.22171574192144,0,0,"482","412","772","772",0,0,2.91801290017005
"128668",10.8,"27271","20929",70000,4896074.9904,389.898031329794,299.225400524413,0.704193004269528,0,"384","319","1620","1620",0,0,14.8931584327844
"107075",0.3,"24887","18123",1,5779389.7046,0.0043061640193932,0.0031357982289333,0.920173607490756,0,"761","629","130","130",0,0,11.4221419039036
